,Francesco Tricarico,GioBatta Tricarico,Marco Tricarico,Gio Batta Tricarico,Giuseppe Tricarico,Samuele Tricarico,Angelo Tricarico,Giovanni Tricarico,Giovanni Battista Tricarico,Giovanni Battista Castoldi
Francesco Tricarico,1.0,0.7809383280458133,0.8836884702248006,0.7855543129951442,0.8747620722854337,0.8109094612694661,0.8421234292837328,0.8650419073016375,0.8119365971622136,0.5318705577848104
GioBatta Tricarico,0.7809383280458133,0.9999999999999998,0.792146502980397,0.9640057991119081,0.8326467940570241,0.7577228408968982,0.7820072099227432,0.8574783988151349,0.8850722873331777,0.6636243580449954
Marco Tricarico,0.8836884702248006,0.792146502980397,0.9999999999999996,0.7941206581449954,0.8309629965442127,0.8365219140292641,0.8528817819673015,0.8359931110076233,0.7900416829641985,0.5059216856512896
Gio Batta Tricarico,0.7855543129951442,0.9640057991119081,0.7941206581449954,0.9999999999999988,0.8356336387139406,0.7600601113579323,0.7961350758646967,0.8534419386166436,0.9069878207883978,0.695140924807209
Giuseppe Tricarico,0.8747620722854337,0.8326467940570241,0.8309629965442127,0.8356336387139406,1.0000000000000002,0.8236386194627713,0.8543753565078102,0.9345857984805399,0.8745035889446757,0.6097970323969559
Samuele Tricarico,0.8109094612694661,0.7577228408968982,0.8365219140292641,0.7600601113579323,0.8236386194627713,1.0,0.8399477501689746,0.8049319797805727,0.7766505835489746,0.5112220885377274
Angelo Tricarico,0.8421234292837328,0.7820072099227432,0.8528817819673015,0.7961350758646967,0.8543753565078102,0.8399477501689746,1.0000000000000004,0.8589663364596055,0.8248564347072516,0.5449777654117614
Giovanni Tricarico,0.8650419073016375,0.8574783988151349,0.8359931110076233,0.8534419386166436,0.9345857984805399,0.8049319797805727,0.8589663364596055,1.0000000000000007,0.928691600295225,0.6500921438864918
Giovanni Battista Tricarico,0.8119365971622136,0.8850722873331777,0.7900416829641985,0.9069878207883978,0.8745035889446757,0.7766505835489746,0.8248564347072516,0.928691600295225,1.0000000000000002,0.7522296239500889
Giovanni Battista Castoldi,0.5318705577848104,0.6636243580449954,0.5059216856512896,0.695140924807209,0.6097970323969559,0.5112220885377274,0.5449777654117614,0.6500921438864918,0.7522296239500889,1.0000000000000002
